Date,Open,High,Low,Close,Adj Close,Volume
2007-11-29,15666.099609,15692.599609,15485.099609,15656.599609,15656.583984,257600
2007-11-30,15660.500000,15799.200195,15643.500000,15759.900391,15759.884766,287800
2007-12-03,15767.099609,15846.500000,15710.000000,15735.000000,15734.984375,175600
2007-12-04,15715.500000,15804.000000,15615.000000,15708.200195,15708.184570,222200
2007-12-05,15805.799805,15849.200195,15737.599609,15802.200195,15802.184570,202200
2007-12-06,15889.500000,15901.400391,15667.099609,15695.900391,15695.884766,178800
2007-12-07,15786.099609,15855.500000,15759.500000,15819.599609,15819.583984,185600
2007-12-10,15760.900391,15892.700195,15739.900391,15832.700195,15832.684570,196400
2007-12-11,15903.500000,15906.799805,15771.799805,15890.500000,15890.484375,175200
2007-12-12,15719.400391,15983.400391,15679.200195,15860.000000,15859.984375,253200
2007-12-13,15755.599609,15757.099609,15486.500000,15499.200195,15499.184570,263600
2007-12-14,15564.099609,15596.200195,15429.500000,15575.700195,15575.684570,197800
2007-12-17,15404.400391,15444.500000,15302.700195,15318.500000,15318.484375,212400
2007-12-18,15282.900391,15441.400391,15276.099609,15282.099609,15282.083984,214400
2007-12-19,15329.599609,15350.700195,15177.099609,15177.099609,15177.083984,251400
2007-12-20,15213.500000,15271.799805,15107.400391,15140.200195,15140.184570,219800
2007-12-21,15299.200195,15348.299805,15233.799805,15289.299805,15289.284180,345200
2007-12-24,null,null,null,null,null,null
2007-12-27,15344.200195,15397.900391,15178.700195,15256.200195,15256.184570,190200
2007-12-28,15202.000000,15251.700195,15124.900391,15182.299805,15182.284180,175400
2008-01-02,15101.900391,15186.000000,14971.400391,15002.500000,15002.484375,190600
2008-01-03,14966.099609,15016.400391,14769.599609,14856.500000,14856.485352,335800
2008-01-04,14794.299805,14867.099609,14511.000000,14602.299805,14602.285156,330400
2008-01-07,14551.700195,14701.500000,14529.500000,14667.000000,14666.985352,280800
2008-01-08,14707.299805,14808.799805,14670.500000,14670.500000,14670.485352,318400
2008-01-09,14577.900391,14665.099609,14471.200195,14603.500000,14603.485352,338600
2008-01-10,14672.400391,14684.900391,14480.099609,14524.000000,14523.985352,320200
2008-01-11,14501.900391,14568.700195,14428.700195,14458.000000,14457.985352,296400
2008-01-14,14398.000000,14540.900391,14343.400391,14431.900391,14431.885742,261400
2008-01-15,14362.900391,14394.900391,13945.200195,13945.200195,13945.186523,354000
2008-01-16,13806.299805,14054.799805,13687.599609,13817.099609,13817.085938,498000
2008-01-17,13981.700195,13995.000000,13731.200195,13775.599609,13775.585938,317800
2008-01-18,13740.099609,13997.400391,13608.200195,13655.400391,13655.386719,410000
2008-01-21,13477.099609,13494.400391,12625.799805,12625.799805,12625.787109,545200
2008-01-22,12509.299805,12909.200195,11937.200195,12839.700195,12839.687500,551600
2008-01-23,13020.000000,13038.099609,12164.099609,12254.599609,12254.586914,488200
2008-01-24,12556.599609,13106.700195,12490.599609,13106.700195,13106.686523,463600
2008-01-25,13295.500000,13491.000000,13100.400391,13141.099609,13141.085938,378600
2008-01-28,12880.299805,13080.099609,12813.099609,13026.700195,13026.686523,264800
2008-01-29,13120.900391,13309.000000,13050.299805,13246.599609,13246.585938,297200
2008-01-30,13185.099609,13381.299805,13117.700195,13217.099609,13217.085938,293400
2008-01-31,13281.500000,13338.500000,12958.299805,13229.000000,13228.986328,401000
2008-02-01,13440.700195,13550.000000,13320.400391,13494.700195,13494.686523,348200
2008-02-04,13608.299805,13652.099609,13476.500000,13515.700195,13515.686523,296400
2008-02-05,13464.099609,13466.299805,12781.500000,12814.700195,12814.687500,393800
2008-02-06,12739.400391,13084.900391,12721.400391,13037.299805,13037.286133,362600
2008-02-07,13010.700195,13060.500000,12724.299805,12889.500000,12889.487305,337000
2008-02-08,12964.500000,13068.099609,12768.700195,12934.799805,12934.787109,271400
2008-02-11,12830.099609,13029.200195,12774.099609,12818.799805,12818.787109,229800
2008-02-12,12926.700195,13254.700195,12808.700195,13254.700195,13254.686523,305400
2008-02-13,13137.099609,13342.099609,13095.799805,13266.700195,13266.686523,290400
2008-02-14,13420.700195,13455.900391,13252.000000,13313.200195,13313.186523,270400
2008-02-15,13292.900391,13381.500000,12979.700195,13073.900391,13073.886719,343600
2008-02-18,13155.500000,13347.200195,13147.400391,13312.200195,13312.186523,195000
2008-02-19,13260.000000,13393.000000,13044.000000,13269.700195,13269.686523,272800
2008-02-20,13096.799805,13138.900391,12998.200195,13080.400391,13080.386719,298000
2008-02-21,13150.700195,13288.099609,13116.200195,13173.000000,13172.986328,220000
2008-02-22,13055.400391,13155.299805,12960.900391,13017.500000,13017.486328,258200
2008-02-25,13141.799805,13180.299805,12995.400391,13156.599609,13156.585938,233600
2008-02-26,13222.400391,13444.700195,13182.400391,13436.599609,13436.585938,264000
2008-02-27,13461.200195,13505.500000,13255.400391,13454.299805,13454.286133,261400
2008-02-28,13398.599609,13439.500000,13272.099609,13272.099609,13272.085938,307200
2008-02-29,13204.000000,13306.000000,13055.799805,13170.400391,13170.386719,377800
2008-03-03,12998.000000,13020.700195,12829.500000,12862.500000,12862.487305,277400
2008-03-04,12913.099609,12957.000000,12584.799805,12630.099609,12630.086914,282000
2008-03-05,12731.799805,12968.700195,12682.500000,12948.099609,12948.086914,273400
2008-03-06,12981.799805,12993.700195,12746.500000,12803.299805,12803.287109,283200
2008-03-07,12673.599609,12818.700195,12583.500000,12691.299805,12691.287109,312200
2008-03-10,12673.000000,12835.200195,12571.400391,12655.000000,12654.987305,290200
2008-03-11,12743.700195,13138.000000,12713.200195,13056.099609,13056.085938,361400
2008-03-12,13272.299805,13291.599609,13080.299805,13131.299805,13131.286133,298600
2008-03-13,12925.799805,13106.200195,12848.799805,13073.200195,13073.186523,338600
2008-03-14,13088.700195,13312.500000,12905.299805,13021.400391,13021.386719,291800
2008-03-17,12678.099609,12871.900391,12638.400391,12656.000000,12655.987305,324600
2008-03-18,12891.599609,13037.000000,12780.099609,13030.500000,13030.486328,273200
2008-03-19,13152.099609,13196.000000,12874.299805,12964.700195,12964.687500,308800
2008-03-20,12840.200195,13048.599609,12790.200195,12964.200195,12964.187500,413600
2008-03-25,13370.400391,13434.200195,13304.900391,13434.200195,13434.186523,329800
2008-03-26,13377.799805,13426.599609,13299.900391,13403.000000,13402.986328,255400
2008-03-27,13357.500000,13596.400391,13355.000000,13537.900391,13537.886719,253800
2008-03-28,13556.900391,13578.500000,13413.400391,13442.400391,13442.386719,217600
2008-03-31,13359.299805,13370.299805,13181.099609,13269.000000,13268.986328,256000
2008-04-01,13205.599609,13699.099609,13194.000000,13699.099609,13699.085938,284800
2008-04-02,13782.900391,13841.500000,13692.500000,13838.700195,13838.686523,259400
2008-04-03,13839.500000,13844.700195,13619.900391,13738.900391,13738.886719,239800
2008-04-04,13777.400391,13846.400391,13695.299805,13846.400391,13846.386719,333800
2008-04-07,13906.700195,14019.599609,13863.000000,13919.599609,13919.585938,205200
2008-04-08,13861.200195,13862.599609,13675.000000,13759.400391,13759.386719,190000
2008-04-09,13692.000000,13734.500000,13579.099609,13599.000000,13598.986328,208200
2008-04-10,13560.200195,13566.000000,13309.500000,13507.900391,13507.886719,220400
2008-04-11,13570.299805,13613.700195,13226.400391,13278.299805,13278.286133,219000
2008-04-14,13214.799805,13241.599609,13106.799805,13160.299805,13160.286133,211000
2008-04-15,13274.200195,13444.900391,13263.099609,13408.900391,13408.886719,240600
2008-04-16,13528.799805,13652.099609,13442.299805,13637.599609,13637.585938,208000
2008-04-17,13673.200195,13681.500000,13537.700195,13568.700195,13568.686523,191400
2008-04-18,13631.700195,13945.700195,13621.200195,13924.900391,13924.886719,234800
2008-04-21,13927.200195,13933.200195,13677.200195,13728.900391,13728.886719,207200
2008-04-22,13681.299805,13696.299805,13537.299805,13593.400391,13593.386719,203000
2008-04-23,13617.000000,13683.000000,13466.200195,13663.000000,13662.986328,281000
2008-04-24,13633.700195,13669.200195,13426.599609,13669.200195,13669.186523,232600
2008-04-25,13731.299805,13832.599609,13693.700195,13772.799805,13772.786133,206600
2008-04-28,13766.799805,13904.200195,13766.799805,13877.799805,13877.786133,185000
2008-04-29,13803.099609,13834.799805,13668.799805,13707.200195,13707.186523,205000
2008-04-30,13698.400391,13798.299805,13561.200195,13798.299805,13798.286133,186000
2008-05-02,13916.200195,14169.200195,13913.400391,14060.000000,14059.985352,248600
2008-05-05,14049.200195,14122.799805,13974.000000,14074.000000,14073.985352,114400
2008-05-06,14071.299805,14120.299805,13884.500000,14005.799805,14005.785156,218200
2008-05-07,14036.900391,14091.299805,14004.099609,14026.799805,14026.785156,179000
2008-05-08,13898.000000,14074.000000,13881.299805,14074.000000,14073.985352,185600
2008-05-09,14000.299805,14015.200195,13843.900391,13945.099609,13945.085938,206200
2008-05-12,13991.400391,14108.400391,13987.400391,14053.900391,14053.885742,149200
2008-05-13,14111.599609,14138.500000,13959.299805,14016.400391,14016.385742,189800
2008-05-14,14068.299805,14214.599609,14033.200195,14187.200195,14187.185547,200400
2008-05-15,14145.400391,14186.400391,14078.900391,14186.400391,14186.385742,146000
2008-05-16,14255.200195,14301.299805,14078.200195,14124.799805,14124.785156,235000
2008-05-19,14148.900391,14247.599609,14110.200195,14247.599609,14247.584961,149400
